city,hour,temp_c,wind_kph,cloud
Limassol,2024-01-28 08:00,0.7,11.9,4
Limassol,2024-01-28 12:00,9.5,8.3,7
Limassol,2024-01-28 16:00,9.6,6.1,0
Limassol,2024-01-28 20:00,1.1,14.0,0
Limassol,2024-01-29 00:00,0.2,15.1,0
Limassol,2024-01-29 04:00,-0.2,12.2,0
Limassol,2024-01-29 08:00,0.1,9.7,10
Limassol,2024-01-29 12:00,9.3,3.6,2
Limassol,2024-01-29 16:00,8.4,4.7,0
Limassol,2024-01-29 20:00,0.9,5.4,0
Tel Aviv,2024-01-27 00:00,4.3,9.7,13
Tel Aviv,2024-01-27 04:00,4.9,7.2,100
Tel Aviv,2024-01-27 08:00,4.8,11.9,45
Tel Aviv,2024-01-27 12:00,12.7,15.5,0
Tel Aviv,2024-01-27 16:00,11.0,14.4,0
Tel Aviv,2024-01-27 20:00,1.9,15.1,0
Tel Aviv,2024-01-28 00:00,1.0,14.0,2
Tel Aviv,2024-01-28 04:00,0.7,13.0,11
Tel Aviv,2024-01-28 08:00,0.7,11.9,4
Tel Aviv,2024-01-28 12:00,9.5,8.3,7
Tel Aviv,2024-01-28 16:00,9.6,6.1,0
Tel Aviv,2024-01-28 20:00,1.1,14.0,0
Tel Aviv,2024-01-29 00:00,0.2,15.1,0
Tel Aviv,2024-01-29 04:00,-0.2,12.2,0
Tel Aviv,2024-01-29 08:00,0.1,9.7,10
Tel Aviv,2024-01-29 12:00,9.3,3.6,2
Tel Aviv,2024-01-29 16:00,8.4,4.7,0
Tel Aviv,2024-01-29 20:00,0.9,5.4,0
Saint Petersburg,2024-01-27 00:00,4.3,9.7,13
Saint Petersburg,2024-01-27 04:00,4.9,7.2,100
Saint Petersburg,2024-01-27 08:00,4.8,11.9,45
Saint Petersburg,2024-01-27 12:00,12.7,15.5,0
Saint Petersburg,2024-01-27 16:00,11.0,14.4,0
Saint Petersburg,2024-01-27 20:00,1.9,15.1,0
Saint Petersburg,2024-01-28 00:00,1.0,14.0,2
Saint Petersburg,2024-01-28 04:00,0.7,13.0,11
Saint Petersburg,2024-01-28 08:00,0.7,11.9,4
Saint Petersburg,2024-01-28 12:00,9.5,8.3,7
Saint Petersburg,2024-01-28 16:00,9.6,6.1,0
Saint Petersburg,2024-01-28 20:00,1.1,14.0,0
Saint Petersburg,2024-01-29 00:00,0.2,15.1,0
Saint Petersburg,2024-01-29 04:00,-0.2,12.2,0
Saint Petersburg,2024-01-29 08:00,0.1,9.7,10
Saint Petersburg,2024-01-29 12:00,9.3,3.6,2
Saint Petersburg,2024-01-29 16:00,8.4,4.7,0
Saint Petersburg,2024-01-29 20:00,0.9,5.4,0
Gorno-Altaysk,2024-01-27 00:00,4.3,9.7,13
Gorno-Altaysk,2024-01-27 04:00,4.9,7.2,100
Gorno-Altaysk,2024-01-27 08:00,4.8,11.9,45
Gorno-Altaysk,2024-01-27 12:00,12.7,15.5,0
Gorno-Altaysk,2024-01-27 16:00,11.0,14.4,0
Gorno-Altaysk,2024-01-27 20:00,1.9,15.1,0
Gorno-Altaysk,2024-01-28 00:00,1.0,14.0,2
Gorno-Altaysk,2024-01-28 04:00,0.7,13.0,11
Gorno-Altaysk,2024-01-28 08:00,0.7,11.9,4
Gorno-Altaysk,2024-01-28 12:00,9.5,8.3,7
Gorno-Altaysk,2024-01-28 16:00,9.6,6.1,0
Gorno-Altaysk,2024-01-28 20:00,1.1,14.0,0
Gorno-Altaysk,2024-01-29 00:00,0.2,15.1,0
Gorno-Altaysk,2024-01-29 04:00,-0.2,12.2,0
Gorno-Altaysk,2024-01-29 08:00,0.1,9.7,10
Gorno-Altaysk,2024-01-29 12:00,9.3,3.6,2
Gorno-Altaysk,2024-01-29 16:00,8.4,4.7,0
Gorno-Altaysk,2024-01-29 20:00,0.9,5.4,0
Kazan,2024-01-27 00:00,4.3,9.7,13
Kazan,2024-01-27 04:00,4.9,7.2,100
Kazan,2024-01-27 08:00,4.8,11.9,45
Kazan,2024-01-27 12:00,12.7,15.5,0
Kazan,2024-01-27 16:00,11.0,14.4,0
Kazan,2024-01-27 20:00,1.9,15.1,0
Kazan,2024-01-28 00:00,1.0,14.0,2
Kazan,2024-01-28 04:00,0.7,13.0,11
Kazan,2024-01-28 08:00,0.7,11.9,4
Kazan,2024-01-28 12:00,9.5,8.3,7
Kazan,2024-01-28 16:00,9.6,6.1,0
Kazan,2024-01-28 20:00,1.1,14.0,0
Kazan,2024-01-29 00:00,0.2,15.1,0
Kazan,2024-01-29 04:00,-0.2,12.2,0
Kazan,2024-01-29 08:00,0.1,9.7,10
Kazan,2024-01-29 12:00,9.3,3.6,2
Kazan,2024-01-29 16:00,8.4,4.7,0
Kazan,2024-01-29 20:00,0.9,5.4,0
Yuzhno-Sakhalinsk,2024-01-27 00:00,4.3,9.7,13
Yuzhno-Sakhalinsk,2024-01-27 04:00,4.9,7.2,100
Yuzhno-Sakhalinsk,2024-01-27 08:00,4.8,11.9,45
Yuzhno-Sakhalinsk,2024-01-27 12:00,12.7,15.5,0
Yuzhno-Sakhalinsk,2024-01-27 16:00,11.0,14.4,0
Yuzhno-Sakhalinsk,2024-01-27 20:00,1.9,15.1,0
Yuzhno-Sakhalinsk,2024-01-28 00:00,1.0,14.0,2
